item_id,declaration_id,declaration_date,year,year_month,hs_code,hs_clean,hs6,hs2,hs_desc,commercial_description,active_cr,trade_type,regime,country_of_origin,country_of_export,country_of_destination,country_of_origin_code,country_of_export_code,country_of_destination_code,partner_country_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount_clean,invoice_amount_clean,sup_amount_clean,net_weight_clean,gross_weight_clean,log_actual_unit_price,median,mad,q1,q3,iqr,iqr_low,iqr_high,iqr_flag,robust_z,anomaly_score,price_level,partner_count,partner_probability,partner_rarity_raw,partner_rarity_score,route_count,route_probability,route_rarity_raw,route_rarity_score,active_months,month_mean,month_std,month_max,burstiness_raw,burstiness_score,trade_pattern_score,pattern_level,trade_pattern_flag,cr_price_z_own,cr_price_z_peer,cr_price_severity,cr_burst_ratio,cr_burst_severity,cr_hs_months_active,cr_hs_first_time_in_window,cr_freq_severity,cr_partner_first_time,cr_partner_hs_first_time,cr_partner_rarity,cr_portfolio_distance,cr_portfolio_severity,cr_profile_score,cr_profile_level,cr_profile_flag,final_level,final_reason,final_flag,llm_explanation,llm_issue_type,llm_validation,llm_validation_reasoning,llm_confidence,llm_next_step
2020-2801-1-10074-1,2020-2801-1-10074,2020-01-01,2020,2020-01,3923301000,392330100000,392330,39,Plastic bottles for packaging,Plastic bottles for packaging,CR_HASH_009,Re-export,EX,BH,BH,DE,BH,BH,DE,DE,NMB,3.53,0.1274787535410765,price_per_item,0.45,1.19,3.53,20.21,22.62,0.1199839483511409,2.008077055471865,0.7629623078147538,1.1201351912780924,2.51712417371907,1.3969889824409778,-0.9753482823833745,4.612607647380537,False,-1.6691536930990645,1.6691536930990645,NORMAL,1.0,0.0010482180293501,6.860663671448286,100.0,1.0,0.0010482180293501,6.860663671448286,100.0,1.0,1.0,0.0,1.0,1.0,0.0,85.0,HIGH,1,0.0,-0.880199237356873,22.004980933921825,1.0,0.0,1,True,91.66666666666666,True,True,0.0,0.0,0.0,37.70174332687264,LOW,1,HIGH,"HIGH (driven by pattern+cr_profile; price_level=NORMAL, pattern_level=HIGH, cr_profile_level=LOW)",1,"This transaction is flagged due to a high trade pattern score and low CR profile score, indicating unusual trading behavior for this trader. The trader is re-exporting plastic bottles to Germany for the first time, and the partner and route are both rare for this HS code. Despite the price anomaly being normal, the combination of these factors suggests a potential risk.",unusual_partner,TRUE_POSITIVE,"The high partner rarity and route rarity scores indicate that this transaction is atypical for the trader, warranting further investigation despite the normal price level.",medium,Conduct a detailed review of the trader's past transactions and verify the legitimacy of the re-export to Germany.
2020-2701-5-10322-1,2020-2701-5-10322,2020-01-01,2020,2020-01,102211000,102211000000,102211,10,"Live cattle, pure-bred breeding","Live cattle, pure-bred breeding",CR_HASH_028,Import,IM,TH,TH,BH,TH,TH,BH,TH,NMB,0.63,40284.71428571428,price_per_item,25379.37,67498.33,0.63,204.01,219.93,10.603752200864935,10.013369334439131,0.6855679350518233,9.327801399387308,10.638440798004725,1.3106393986174147,7.361842301461186,12.604399895930843,False,0.5808436591005525,0.5808436591005525,NORMAL,1.0,0.0010482180293501,6.860663671448286,100.0,1.0,0.0010482180293501,6.860663671448286,100.0,1.0,1.0,0.0,1.0,1.0,0.0,85.0,HIGH,1,0.0,1.3123256057504056,32.80814014376014,1.0,0.0,1,True,91.66666666666666,True,True,0.0,0.0,0.0,41.48284905031605,LOW,1,HIGH,"HIGH (driven by pattern+cr_profile; price_level=NORMAL, pattern_level=HIGH, cr_profile_level=LOW)",1,"This transaction is flagged due to a high trade pattern score and low CR profile score, indicating unusual trading behavior for this trader. The declared unit price is significantly higher than the peer median price, but the price anomaly score is normal, suggesting that the price is not the main concern. The trader is using a first-time product and partner, which adds to the risk profile.",unusual_partner,TRUE_POSITIVE,"The combination of a high partner rarity score and first-time use of both product and partner raises concerns about the legitimacy of the transaction, warranting further investigation.",medium,Conduct a detailed review of the trader's history and the legitimacy of the declared goods.
2020-2801-2-10978-1,2020-2801-2-10978,2020-01-03,2020,2020-01,6109100000,610910000000,610910,61,Cotton t-shirts,Cotton t-shirts,CR_HASH_037,Import,IM,DE,DE,BH,DE,DE,BH,DE,NMB,2.29,178.5589519650655,price_per_item,408.9,1087.5,2.29,649.27,705.92,5.1905035772129455,4.644105600231562,0.7882174659262975,3.892722458934984,5.444558727344917,1.5518362684099332,1.5649680563200845,7.772313129959818,False,0.4675618118123623,0.4675618118123623,NORMAL,5.0,0.0052410901467505,5.251225759014186,51.700506150822136,5.0,0.0052410901467505,5.251225759014186,47.13660531805522,3.0,1.6666666666666667,1.1547005383792517,3.0,1.7999999999999998,50.90909090909091,49.98442857309403,LOW,1,0.0,0.8518519092530304,21.29629773132576,1.0,0.0,1,True,91.66666666666666,True,True,0.0,0.0,0.0,37.453704205964016,LOW,1,LOW,"LOW (driven by pattern+cr_profile; price_level=NORMAL, pattern_level=LOW, cr_profile_level=LOW)",1,"The transaction shows a declared unit price of approximately 178.56 BHD for cotton t-shirts, which is significantly higher than the peer median price of 4.64 BHD. However, the price anomaly score is within the normal range, and the trade pattern and CR profile levels are low, indicating that this trader is engaging in a first-time import with an unusual pricing strategy. Given the context of the date and the nature of the goods, this appears to be a benign outlier rather than a genuine risk.",benign_outlier,FALSE_POSITIVE,"The price level is normal, and while the trader's profile shows first-time usage of this product and partner, the overall anomaly signals do not indicate a significant risk.",high,Monitor future transactions from this trader for consistency in pricing and product selection.
2020-2801-6-10412-1,2020-2801-6-10412,2020-01-04,2020,2020-01,2710192100,271019210000,271019,27,Gas oils for diesel engines,Gas oils for diesel engines,CR_HASH_004,Import,IM,EG,EG,BH,EG,EG,BH,EG,LTR,13551.69,0.1504247809682777,price_per_liter_gross_weight,2038.51,5421.58,3.51,12174.62,13551.69,0.1401312489281222,0.2635559281187505,0.0710560088433533,0.1979668243457394,0.3363424368265587,0.1383756124808193,-0.0095965943754896,0.5439058555477878,False,-1.171594168608151,1.171594168608151,NORMAL,1.0,0.0010482180293501,6.860663671448286,100.0,1.0,0.0010482180293501,6.860663671448286,100.0,1.0,1.0,0.0,1.0,1.0,0.0,85.0,HIGH,1,0.0,-0.989021137125758,24.72552842814395,1.0,0.0,1,True,91.66666666666666,True,True,0.0,0.0,0.0,38.65393494985038,LOW,1,HIGH,"HIGH (driven by pattern+cr_profile; price_level=NORMAL, pattern_level=HIGH, cr_profile_level=LOW)",1,"This transaction is flagged due to a high trade pattern score and low CR profile score, indicating unusual trading behavior for this trader. The trader is importing gas oils for diesel engines from Egypt, which is their first time using this product and partner, raising concerns about the legitimacy of the transaction despite the normal price level.",unusual_partner,TRUE_POSITIVE,"The combination of a high partner rarity score and the fact that this is the first time the trader is using this product and partner suggests potential risk, warranting further investigation.",medium,Conduct a detailed review of the trader's history and verify the legitimacy of the transaction with additional documentation.
2020-2501-3-10853-1,2020-2501-3-10853,2020-01-05,2020,2020-01,8471300000,847130000000,847130,84,Portable laptop computers,Portable laptop computers,CR_HASH_023,Re-export,EX,BH,BH,IN,BH,BH,IN,IN,NMB,3.65,1952.328767123288,price_per_item,7126.0,18952.12,3.65,519.98,594.63,7.577290256250023,9.057918359570245,1.044460022767316,7.958447179146432,9.968345476103028,2.009898296956594,4.943599733711541,12.983192921537915,False,-0.9561591177658028,0.9561591177658028,NORMAL,3.0,0.0031446540880503,5.762051382780177,67.03046630801344,3.0,0.0031446540880503,5.762051382780177,63.915119328547,3.0,1.0,0.0,1.0,1.0,0.0,55.88552491899817,LOW,1,0.0,-0.6718696497536678,16.796741243841694,1.0,0.0,1,True,91.66666666666666,True,True,100.0,1.0,100.0,80.8788594353446,MEDIUM,1,MEDIUM,"MEDIUM (driven by pattern+cr_profile; price_level=NORMAL, pattern_level=LOW, cr_profile_level=MEDIUM)",1,"This transaction is flagged due to a combination of medium-level anomalies in trade pattern and CR profile dimensions. The trader is re-exporting portable laptop computers to India, which is unusual for them as indicated by the high partner rarity score and the fact that this is their first time using this product and partner combination. However, the price level is normal, and the robust Z-score indicates no significant under-invoicing or over-invoicing.",unusual_partner,TRUE_POSITIVE,"The combination of first-time use of both the product and partner, along with high rarity scores, suggests a potential risk that warrants further scrutiny despite the normal pricing.",medium,Conduct a deeper investigation into the trader's history and the legitimacy of the re-export to India.
2020-2501-8-10649-1,2020-2501-8-10649,2020-01-06,2020,2020-01,102211000,102211000000,102211,10,"Live cattle, pure-bred breeding","Live cattle, pure-bred breeding",CR_HASH_006,Import,IM,IN,IN,BH,IN,IN,BH,IN,NMB,3.56,4837.665730337079,price_per_item,17222.09,45803.43,3.56,146.88,155.97,8.484394286154998,10.013369334439131,0.6855679350518233,9.327801399387308,10.638440798004725,1.3106393986174147,7.361842301461186,12.604399895930843,False,-1.5042703849035362,1.5042703849035362,NORMAL,7.0,0.0073375262054507,4.9147535223929735,41.6029195353019,4.0,0.0041928721174004,5.474369310328396,54.46595026060942,6.0,1.1666666666666667,0.408248290463863,2.0,1.7142857142857142,45.45454545454546,46.68272417704606,LOW,1,0.0,-0.8476134502285507,21.190336255713767,1.0,0.0,1,True,91.66666666666666,True,True,100.0,1.0,100.0,82.41661768949982,MEDIUM,1,MEDIUM,"MEDIUM (driven by pattern+cr_profile; price_level=NORMAL, pattern_level=LOW, cr_profile_level=MEDIUM)",1,"The transaction involves the import of live cattle from India, which is consistent with the declared goods description. However, the trader has a high CR Profile Score indicating unusual behavior, as this is the first time they are importing this product and using this partner. The price is also significantly higher than the peer median, which raises concerns about potential over-invoicing despite the price anomaly being classified as normal.",unusual_partner,TRUE_POSITIVE,"The combination of first-time product and partner usage, along with a high CR Profile Score, suggests that this transaction may not align with the trader's typical behavior, warranting further investigation.",medium,Conduct a detailed review of the trader's past transactions and verify the legitimacy of the pricing and partner.
2020-2801-9-10882-1,2020-2801-9-10882,2020-01-07,2020,2020-01,9018390000,901839000000,901839,90,Medical syringes and needles,Medical syringes and needles,CR_HASH_011,Import,IM,IN,IN,BH,IN,IN,BH,IN,NMB,0.52,33.61538461538461,price_per_item,17.48,46.5,0.52,318.76,336.55,3.544298225302829,1.1592369104845446,0.5792846449150362,0.6041021775947832,1.748109664393657,1.1440074867988734,-1.111909052603527,3.464120894591967,True,2.777048954691316,2.777048954691316,LOW,6.0,0.0062893081761006,5.068904202220232,46.22900654036249,6.0,0.0062893081761006,5.068904202220232,41.148094458851695,3.0,2.0,1.0,3.0,1.5,31.818181818181824,42.28906360350661,NORMAL,0,0.0,12.476923695066317,100.0,1.0,0.0,1,True,91.66666666666666,True,True,0.0,0.0,0.0,65.0,LOW,1,LOW,"LOW (driven by price+cr_profile; price_level=LOW, pattern_level=NORMAL, cr_profile_level=LOW)",1,"The transaction shows a high unit price of BHD 33.62 for medical syringes, which is significantly above the peer median price of BHD 1.16, resulting in a robust Z-score of 2.78 indicating potential over-invoicing. However, the trade pattern and CR profile levels are normal, and this is the first time the trader is importing this product from this partner, suggesting a possible legitimate reason for the price discrepancy. The context of the transaction date in 2020 may also indicate market fluctuations due to demand for medical supplies during that period.",over_invoicing,TRUE_POSITIVE,"The high Z-score and CR price severity indicate a significant deviation from expected pricing norms, warranting further investigation despite the normal trade pattern and CR profile levels.",medium,Conduct a detailed review of the trader's past transactions and the market prices for medical syringes during the transaction period.
2020-2601-8-10000-1,2020-2601-8-10000,2020-01-08,2020,2020-01,8471300000,847130000000,847130,84,Portable laptop computers,Portable laptop computers,CR_HASH_036,Import,IM,CN,CN,BH,CN,CN,BH,CN,NMB,0.98,16562.275510204083,price_per_item,16231.03,43167.64,0.98,467.06,536.61,9.714943204890009,8.71824987064452,0.6999612932513521,7.750041925937837,9.126895264901794,1.376853338963957,5.684761917491901,11.192175273347727,False,0.9604251698802074,0.9604251698802074,NORMAL,21.0,0.0220125786163522,3.816141233724864,8.633385843315326,15.0,0.0157232704402515,4.152613470346076,11.051724646602178,10.0,2.1,1.449137674618944,5.0,2.380952380952381,87.87878787878789,21.36661472978661,NORMAL,0,0.0,1.6075551209250674,40.18887802312669,1.0,0.0,1,True,91.66666666666666,True,True,100.0,1.0,100.0,89.06610730809433,HIGH,1,HIGH,"HIGH (driven by cr_profile; price_level=NORMAL, pattern_level=NORMAL, cr_profile_level=HIGH)",1,"This transaction is flagged due to a high CR Profile Score, indicating significant deviation from the trader's historical behavior, particularly as this is the first time the trader is importing this product and using this partner. However, the price level is normal and the robust Z-score indicates no price anomaly, suggesting that the high CR Profile Score may reflect a benign outlier rather than a genuine risk.",cr_profile_deviation,FALSE_POSITIVE,"The high CR Profile Score is concerning, but the normal price level and absence of price anomalies suggest this may not indicate a genuine risk, warranting further observation rather than immediate action.",medium,Monitor future transactions from this trader for consistency in product and partner usage.
2020-2501-1-10673-1,2020-2501-1-10673,2020-01-09,2020,2020-01,8703221000,870322100000,870322,87,Passenger cars 1000-1500cc,Passenger cars 1000-1500cc,CR_HASH_011,Import,IM,US,US,BH,US,US,BH,US,NMB,3.2,133264.82499999998,price_per_item,426447.44,1134168.73,3.2,241.75,258.61,11.800101096702557,12.339741490828857,0.5298577154310848,11.445675964067552,12.647064860424424,1.201388896356871,9.643592619532246,14.44914820495973,False,-0.6869437750516992,0.6869437750516992,NORMAL,10.0,0.010482180293501,4.558078578454241,30.899046383171186,8.0,0.0083857442348008,4.781222129768451,31.698925390914116,7.0,1.4285714285714286,0.5345224838248488,2.0,1.4,25.454545454545453,30.362328896587343,NORMAL,0,0.0,-0.4701902954230899,11.754757385577246,1.0,0.0,1,True,91.66666666666666,True,True,100.0,1.0,100.0,79.11416508495203,MEDIUM,1,LOW,"LOW (driven by cr_profile; price_level=NORMAL, pattern_level=NORMAL, cr_profile_level=MEDIUM)",1,"The transaction involves the import of passenger cars with a declared unit price that is significantly higher than the peer median price, indicating potential over-invoicing. However, the price anomaly is not severe, and the trade pattern is normal, suggesting that this may be a benign outlier rather than a genuine risk. The trader is also engaging in a first-time transaction with this product and partner, which contributes to the medium CR profile level but does not indicate a clear risk.",benign_outlier,FALSE_POSITIVE,"The price level is normal, and while the CR profile shows some deviation, it does not indicate a strong risk. The first-time nature of the product and partner suggests this could be an isolated case rather than a systemic issue.",medium,Monitor future transactions from this trader for consistency in pricing and partner usage.
2020-2501-1-10401-1,2020-2501-1-10401,2020-01-10,2020,2020-01,2710192100,271019210000,271019,27,Gas oils for diesel engines,Gas oils for diesel engines,CR_HASH_031,Re-export,EX,BH,BH,JP,BH,BH,JP,JP,LTR,6613.99,0.4777645566443251,price_per_liter_gross_weight,3159.93,8404.06,3.48,5948.82,6613.99,0.3905305112198076,0.2773855677315066,0.0779894680702432,0.1639690098991207,0.3324464187701956,0.1684774088710749,-0.0887471034074916,0.585162532076808,False,0.9785323679298,0.9785323679298,NORMAL,2.0,0.0020964360587002,6.1675164908883415,79.19854023234907,2.0,0.0020964360587002,6.1675164908883415,77.23297513030472,2.0,1.0,0.0,1.0,1.0,0.0,66.6308114117812,LOW,1,0.0,1.1733549023041214,29.33387255760304,1.0,0.0,1,True,91.66666666666666,True,True,0.0,0.0,0.0,40.26685539516106,LOW,1,LOW,"LOW (driven by pattern+cr_profile; price_level=NORMAL, pattern_level=LOW, cr_profile_level=LOW)",1,"The transaction involves a re-export of gas oils for diesel engines from Bahrain to Japan, with a declared unit price that is within a normal range according to the price anomaly analysis. The trade pattern shows a high partner rarity and route rarity, indicating that this is an unusual trade for the trader, who is also engaging in a first-time transaction with this product and partner. However, the overall composite score is low, suggesting that while there are some anomalies, they do not indicate a significant risk.",unusual_partner,FALSE_POSITIVE,"The price level is normal and the composite score is low, indicating that the anomalies present do not warrant further investigation at this time, despite the unusual partner and first-time nature of the transaction.",medium,Monitor future transactions from this trader to see if similar patterns emerge.
