item_id,declaration_id,year,customs_office_code,customs_office_name,regime,registration_serial,registration_number,reference_number,registration_date,hs_code,commercial_description,country_of_origin,country_of_origin_code,country_of_export,country_of_export_code,country_of_destination,country_of_destination_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount,sup_amount,invoice_amount,net_weight,gross_weight,status,specification_code,warehouse_code,exit_office_code,exit_officer_id,operation_name,operation_date,encrypted_declarant_cr,encrypted_consignee_cr,encrypted_exporter_cr
2019-2501-5-10000-1,2019-2501-5-10000,2019,2501,Bahrain International Airport,IM,5,10000,84047,3/15/2019,3923301000,Plastic bottles for packaging,US,US,US,US,BH,BH,NMB,147.0,0.65,FOB,35.93,1.52,95.55,1095.26,1255.8,Released,1,5,2501,898,,,CR_HASH_190,CR_HASH_020,
2019-2801-8-10001-1,2019-2801-8-10001,2019,2801,King Fahd Causeway,IM,8,10001,13942,1/24/2019,0102211000,"Live cattle, pure-bred breeding",DE,DE,IN,IN,BH,BH,NMB,126.0,2088.75,FOB,98956.62,3.57,263182.5,246.93,276.56,Released,9,7,2801,429,,,CR_HASH_194,CR_HASH_025,
2019-2601-3-10002-1,2019-2601-3-10002,2019,2601,Dry Port - Hidd,IM,3,10002,24461,12/20/2019,3923301000,Plastic bottles for packaging,CN,CN,CN,CN,BH,BH,NMB,74.0,0.04,EXW,1.11,3.65,2.96,162.93,187.45,Released,3,7,2601,848,,,CR_HASH_235,CR_HASH_022,
2019-2801-8-10003-1,2019-2801-8-10003,2019,2801,King Fahd Causeway,IM,8,10003,34940,6/8/2019,2710192100,Gas oils for diesel engines,CN,CN,CN,CN,BH,BH,LTR,6122.4,0.91,EXW,2094.84,2.57,5571.38,5555.37,6387.16,Released,6,1,2801,225,,,CR_HASH_118,CR_HASH_035,
2019-2501-4-10004-1,2019-2501-4-10004,2019,2501,Bahrain International Airport,EX,4,10004,37355,3/31/2019,6109100000,Cotton t-shirts,BH,BH,BH,BH,AE,AE,NMB,131.0,9.35,FOB,460.54,2.47,1224.85,609.39,690.98,Released,9,2,2501,348,,,CR_HASH_118,,CR_HASH_039
2019-2801-8-10005-1,2019-2801-8-10005,2019,2801,King Fahd Causeway,IM,8,10005,46826,5/30/2019,8471300000,Portable laptop computers,CN,CN,CN,CN,BH,BH,NMB,47.0,187.9,FOB,3320.57,4.16,8831.3,219.85,256.69,Released,2,4,2801,120,,,CR_HASH_249,CR_HASH_033,
2019-2501-7-10006-1,2019-2501-7-10006,2019,2501,Bahrain International Airport,IM,7,10006,37135,2/8/2019,8504400090,Static converters,CN,CN,CN,CN,BH,BH,NMB,139.0,65.48,EXW,3422.25,2.13,9101.72,534.62,591.91,Released,9,1,2501,407,,,CR_HASH_116,CR_HASH_012,
2019-2601-9-10007-1,2019-2601-9-10007,2019,2601,Dry Port - Hidd,RE,9,10007,17132,2/13/2019,2710192100,Gas oils for diesel engines,IN,IN,BH,BH,DE,DE,LTR,14144.29,0.54,CIF,2871.86,4.56,7637.92,12636.2,14119.74,Released,5,7,2601,281,,,CR_HASH_184,CR_HASH_014,
2019-2601-8-10008-1,2019-2601-8-10008,2019,2601,Dry Port - Hidd,EX,8,10008,62568,9/21/2019,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,SA,SA,NMB,109.0,22132.29,CIF,907069.77,0.88,2412419.61,407.74,466.49,Released,7,4,2601,807,,,CR_HASH_045,,CR_HASH_007
2019-2501-5-10009-1,2019-2501-5-10009,2019,2501,Bahrain International Airport,IM,5,10009,65120,1/16/2019,8517120000,Cellular telephones,AE,AE,AE,AE,BH,BH,NMB,66.0,258.98,FOB,6426.85,0.6,17092.68,490.93,558.27,Released,9,4,2501,533,,,CR_HASH_112,CR_HASH_017,
2019-2801-1-10010-1,2019-2801-1-10010,2019,2801,King Fahd Causeway,EX,1,10010,39840,6/20/2019,8471300000,Portable laptop computers,BH,BH,BH,BH,AE,AE,NMB,55.0,468.96,FOB,9698.09,2.48,25792.8,222.81,242.87,Released,3,1,2801,426,,,CR_HASH_122,,CR_HASH_047
2019-2501-9-10011-1,2019-2501-9-10011,2019,2501,Bahrain International Airport,IM,9,10011,38860,10/29/2019,8703221000,Passenger cars 1000-1500cc,SA,SA,SA,SA,BH,BH,NMB,28.0,16080.72,CIF,169297.82,4.62,450260.16,152.48,176.73,Pending,3,3,2501,133,,,CR_HASH_234,CR_HASH_038,
2019-2701-5-10012-1,2019-2701-5-10012,2019,2701,Khalifa Bin Salman Port,IM,5,10012,26262,2/21/2019,2710192100,Gas oils for diesel engines,DE,DE,DE,DE,BH,BH,LTR,16680.9,1.03,CIF,6460.18,0.7,17181.33,14229.0,15486.77,Released,4,9,2701,992,,,CR_HASH_247,CR_HASH_046,
2019-2801-1-10013-1,2019-2801-1-10013,2019,2801,King Fahd Causeway,IM,1,10013,76294,2/25/2019,8504400090,Static converters,US,US,DE,DE,BH,BH,NMB,169.0,226.56,EXW,14396.53,1.68,38288.64,923.16,1021.06,Released,9,9,2801,316,,,CR_HASH_221,CR_HASH_005,
2019-2501-1-10014-1,2019-2501-1-10014,2019,2501,Bahrain International Airport,IM,1,10014,97463,1/12/2019,9018390000,Medical syringes and needles,JP,JP,JP,JP,BH,BH,NMB,178.0,0.13,FOB,8.7,1.15,23.14,503.28,587.13,Released,9,1,2501,256,,,CR_HASH_039,CR_HASH_016,
2019-2601-2-10015-1,2019-2601-2-10015,2019,2601,Dry Port - Hidd,IM,2,10015,17594,3/25/2019,8471300000,Portable laptop computers,SA,SA,SA,SA,BH,BH,NMB,135.0,229.19,EXW,11633.68,1.09,30940.65,269.77,315.8,Released,2,6,2601,933,,,CR_HASH_007,CR_HASH_036,
2019-2601-9-10016-1,2019-2601-9-10016,2019,2601,Dry Port - Hidd,RE,9,10016,67057,1/30/2019,2710192100,Gas oils for diesel engines,CN,CN,BH,BH,DE,DE,LTR,10027.39,0.9,EXW,3393.27,1.13,9024.65,7570.4,8579.38,Released,7,4,2601,105,,,CR_HASH_231,CR_HASH_008,
