item_id,declaration_id,year,customs_office_code,customs_office_name,regime,registration_serial,registration_number,reference_number,registration_date,hs_code,commercial_description,country_of_origin,country_of_origin_code,country_of_export,country_of_export_code,country_of_destination,country_of_destination_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount,sup_amount,invoice_amount,net_weight,gross_weight,status,specification_code,warehouse_code,exit_office_code,exit_officer_id,operation_name,operation_date,encrypted_declarant_cr,encrypted_consignee_cr,encrypted_exporter_cr
2022-2601-8-10000-1,2022-2601-8-10000,2022,2601,Dry Port - Hidd,EX,8,10000,80232,10/31/2022,9018390000,Medical syringes and needles,BH,BH,BH,BH,CN,CN,NMB,78.0,0.18,FOB,5.28,3.67,14.04,155.95,163.92,Released,8,6,2601,512,,,CR_HASH_199,,CR_HASH_039
2022-2701-1-10001-1,2022-2701-1-10001,2022,2701,Khalifa Bin Salman Port,IM,1,10001,81541,7/4/2022,8517120000,Cellular telephones,AE,AE,CN,CN,BH,BH,NMB,49.0,835.24,CIF,15388.46,0.64,40926.76,257.76,292.05,Released,4,9,2701,292,,,CR_HASH_023,CR_HASH_028,
2022-2601-9-10002-1,2022-2601-9-10002,2022,2601,Dry Port - Hidd,IM,9,10002,69787,4/11/2022,9018390000,Medical syringes and needles,CN,CN,CN,CN,BH,BH,NMB,7.0,0.08,FOB,0.21,4.16,0.56,32.74,38.23,Released,3,2,2601,400,,,CR_HASH_059,CR_HASH_049,
2022-2501-1-10003-1,2022-2501-1-10003,2022,2501,Bahrain International Airport,IM,1,10003,31488,1/9/2022,8504400090,Static converters,AE,AE,AE,AE,BH,BH,NMB,144.0,131.61,CIF,7125.89,3.34,18951.84,824.03,920.38,Released,4,9,2501,178,,,CR_HASH_042,CR_HASH_019,
2022-2501-4-10004-1,2022-2501-4-10004,2022,2501,Bahrain International Airport,IM,4,10004,17132,5/6/2022,3923301000,Plastic bottles for packaging,DE,DE,DE,DE,BH,BH,NMB,73.0,0.59,CIF,16.19,4.56,43.07,429.0,479.37,Released,5,7,2501,281,,,CR_HASH_184,CR_HASH_014,
2022-2601-8-10005-1,2022-2601-8-10005,2022,2601,Dry Port - Hidd,EX,8,10005,62568,9/21/2022,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,SA,SA,NMB,109.0,22132.29,CIF,907069.77,0.88,2412419.61,407.74,466.49,Released,7,4,2601,807,,,CR_HASH_045,,CR_HASH_007
2022-2501-5-10006-1,2022-2501-5-10006,2022,2501,Bahrain International Airport,IM,5,10006,65120,1/16/2022,8517120000,Cellular telephones,AE,AE,AE,AE,BH,BH,NMB,66.0,258.98,FOB,6426.85,0.6,17092.68,490.93,558.27,Released,9,4,2501,533,,,CR_HASH_112,CR_HASH_017,
2022-2801-1-10007-1,2022-2801-1-10007,2022,2801,King Fahd Causeway,EX,1,10007,39840,6/20/2022,8471300000,Portable laptop computers,BH,BH,BH,BH,AE,AE,NMB,55.0,468.96,FOB,9698.09,2.48,25792.8,222.81,242.87,Released,3,1,2801,426,,,CR_HASH_122,,CR_HASH_047
2022-2501-9-10008-1,2022-2501-9-10008,2022,2501,Bahrain International Airport,IM,9,10008,38860,10/29/2022,8703221000,Passenger cars 1000-1500cc,SA,SA,SA,SA,BH,BH,NMB,28.0,16080.72,CIF,169297.82,4.62,450260.16,152.48,176.73,Pending,3,3,2501,133,,,CR_HASH_234,CR_HASH_038,
2022-2701-5-10009-1,2022-2701-5-10009,2022,2701,Khalifa Bin Salman Port,IM,5,10009,26262,2/21/2022,2710192100,Gas oils for diesel engines,DE,DE,DE,DE,BH,BH,LTR,16680.9,1.03,CIF,6460.18,0.7,17181.33,14229.0,15486.77,Released,4,9,2701,992,,,CR_HASH_247,CR_HASH_046,
